trip_id,arrival_time,departure_time,stop_id,stop_sequence
7311A,07:45:00,07:45:00,S50,1
7311A,07:47:00,07:47:00,S122,2
7311A,07:49:00,07:49:00,S123,3
7311A,07:51:00,07:51:00,S75,4
7311A,07:52:00,07:52:00,S125,5
7311A,07:53:00,07:53:00,S126,6
7311A,07:54:00,07:54:00,S127,7
7311A,07:56:00,07:56:00,S128,8
7311A,07:57:00,07:57:00,S477,9
7311A,07:58:00,07:58:00,S129,10
7311A,07:59:00,07:59:00,S130,11
7311A,08:00:00,08:00:00,S131,12
7311A,08:01:00,08:01:00,S244,13
7311A,08:02:00,08:02:00,S43,14
7311A,08:03:00,08:03:00,S44,15
7311A,08:05:00,08:05:00,S133,16
7311A,08:06:00,08:06:00,S233,17
7311A,08:07:00,08:07:00,S206,18
7311A,08:08:00,08:08:00,S245,19
7311A,08:09:00,08:09:00,S471,20
7311A,08:10:00,08:10:00,S235,21
7311A,08:11:00,08:11:00,S46,22
7311A,08:12:00,08:12:00,S47,23
7311A,08:13:00,08:13:00,S48,24
7311A,08:14:00,08:14:00,S49,25
7311A,08:15:00,08:15:00,S50,26
7311B,14:55:00,14:55:00,S50,1
7311B,14:56:00,14:56:00,S47,2
7311B,14:58:00,14:58:00,S48,3
7311B,15:00:00,15:00:00,S49,4
7311B,15:03:00,15:03:00,S122,5
7311B,15:05:00,15:05:00,S123,6
7311B,15:07:00,15:07:00,S75,7
7311B,15:08:00,15:08:00,S125,8
7311B,15:09:00,15:09:00,S126,9
7311B,15:10:00,15:10:00,S127,10
7311B,15:12:00,15:12:00,S128,11
7311B,15:13:00,15:13:00,S477,12
7311B,15:14:00,15:14:00,S129,13
7311B,15:15:00,15:15:00,S130,14
7311B,15:16:00,15:16:00,S131,15
7311B,15:17:00,15:17:00,S244,16
7311B,15:18:00,15:18:00,S43,17
7311B,15:19:00,15:19:00,S44,18
7311B,15:21:00,15:21:00,S133,19
7311B,15:22:00,15:22:00,S233,20
7311B,15:23:00,15:23:00,S206,21
7311B,15:24:00,15:24:00,S245,22
7311B,15:25:00,15:25:00,S471,23
7311B,15:26:00,15:26:00,S235,24
7311B,15:27:00,15:27:00,S46,25
7311B,15:30:00,15:30:00,S50,26
7311C,17:55:00,17:55:00,S50,1
7311C,17:56:00,17:56:00,S47,2
7311C,17:58:00,17:58:00,S48,3
7311C,18:00:00,18:00:00,S49,4
7311C,18:03:00,18:03:00,S122,5
7311C,18:05:00,18:05:00,S123,6
7311C,18:07:00,18:07:00,S75,7
