route_id,service_id,trip_id,direction_id,shape_id
7311,SAS,7311A,0,7311_1
7311,SAS,7311B,0,7311_2
7311,SAS,7311C,0,7311_2
7311,SAS,7311D,1,7311_3
7315,SAS,7315A,0,7315_1
7315,SAS,7315B,1,7315_2
7318,SAS,7318A,1,7318_1
7318,SAS,7318B,0,7318_2
7322,SAS,7322A,1,7322_1
7322,SAS,7322B,0,7322_2
7323,SAS,7323A,0,7323_1
7323,QUA,7323B,0,7323_2
7323,QUA,7323C,0,7323_3
7323,SAS,7323D,0,7323_4
7323,STQ,7323E,0,7323_5
7323,SAS,7323F,0,7323_5
7323,SAS,7323G,1,7323_6
7323,SAS,7323H,1,7323_7
7323,STQ,7323I,1,7323_8
7325,SAS,7325A,0,7325_1
7325,SAS,7325B,0,7325_2
7325,SAS,7325C,0,7325_3
7325,SAS,7325D,0,7325_3
7325,QUA,7325E,1,7325_4
7325,QUA,7325F,1,7325_5
7325,STQ,7325G,1,7325_4
7325,STQ,7325H,1,7325_5
7326,SAS,7326A,0,7326_1
7326,SAS,7326B,0,7326_2
7326,SAS,7326C,1,7326_3
7326,SAS,7326D,1,7326_3
